U+3007	〇	1-4243	w
U+4E00	一	1-4421	m
U+4E01	丁	1-4423	mn
U+4E02	丂	4-2126	mvs
U+4E03	七	1-4424	jv
U+4E04	丄	3-2126	lm
U+4E05	丅	3-2125	ml
U+4E06	丆	14-4B6E	mh
U+4E07	万	2-2126	ms
U+4E08	丈	1-4437	jk
U+4E09	三	1-4435	mmm
U+4E0A	上	1-4438	ym
U+4E0B	下	1-4436	my
U+4E0C	丌	2-2127	ml
U+4E0D	不	1-4462	mf
U+4E0E	与	2-212F	ysm
U+4E0F	丏	2-212D	mlvs
U+4E10	丐	1-4461	myvs
U+4E11	丑	1-4460	ng
U+4E12	丒	4-2139	sim
U+4E13	专	14-4C28	qni
U+4E14	且	1-4562	bm
U+4E15	丕	1-4561	mfm
U+4E16	世	1-4560	pt
U+4E17	丗	4-2155	tjm
U+4E18	丘	1-4563	hlm,om
U+4E19	丙	1-455F	mob
U+4E1A	业	14-4C51	tc
U+4E1B	丛	14-4C52	oom
U+4E1C	东	14-4C53	kd
U+4E1D	丝	14-4C54	vvm
U+4E1E	丞	1-4722	nem
U+4E1F	丟	1-4723	mgi
U+4E20	丠	3-2262	lpm
U+4E21	両	3-2261	mub
U+4E22	丢	3-2263	hgi
U+4E23	丣	4-2335	mlss
U+4E24	两	3-243F	moob
U+4E25	严	14-4E6F	mtch
U+4E26	並	1-4B64	ttm
U+4E27	丧	14-5126	gcv
U+4E28	丨	3-2121	l
U+4E29	丩	4-2127	vl
U+4E2A	个	3-212C	ol
U+4E2B	丫	1-4439	cl
U+4E2C	丬	14-4B74	lim
U+4E2D	中	1-4463	l
U+4E2E	丮	2-2130	nq
U+4E2F	丯	4-213A	qj
U+4E30	丰	1-4464	qj
U+4E31	丱	2-2143	vlllm
U+4E32	串	1-486B	ll
U+4E33	丳	2-2531	llww
U+4E34	临	14-537A	lloa
U+4E35	丵	4-2B5E	tmtj
U+4E36	丶	3-2122	i
U+4E37	丷	14-4B6F	ih
U+4E38	丸	1-443A	kni
U+4E39	丹	1-4465	by
U+4E3A	为	14-4C29	iksi
U+4E3B	主	1-4564	yg
U+4E3C	丼	2-2144	tti
U+4E3D	丽	3-2740	mmbib
U+4E3E	举	14-537B	fcq
U+4E3F	丿	3-2123	h
U+4E40	乀	4-2122	no
U+4E41	乁	4-2123	no
U+4E42	乂	2-2121	ho
U+4E43	乃	1-4425	nhs
U+4E44	乄	14-4B70	kv
U+4E45	久	1-443C	no
U+4E46	乆	3-2130	vo
U+4E47	乇	2-2128	hp
U+4E48	么	1-443D	hi
U+4E49	义	3-212E	ik
U+4E4A	乊	14-4B75	hc
U+4E4B	之	1-4466	ino
U+4E4C	乌	14-4C2A	pvsm
U+4E4D	乍	1-4565	os
U+4E4E	乎	1-4567	hfd
U+4E4F	乏	1-4566	hino
U+4E50	乐	14-4C55	hvd
U+4E51	乑	4-2227	ohho
U+4E52	乒	1-4724	hmh
U+4E53	乓	1-4725	hmi
U+4E54	乔	3-2345	hkll
U+4E55	乕	14-4E7E	hqb
U+4E56	乖	1-4B65	hjlp
U+4E57	乗	3-2B22	hjtd
U+4E58	乘	1-537D	hdlp
U+4E59	乙	1-4422	nu
U+4E5A	乚	4-2124	lu
U+4E5B	乛	14-4B6D	n
U+4E5C	乜	2-2122	pn
U+4E5D	九	1-4426	kn
U+4E5E	乞	1-443F	on
U+4E5F	也	1-443E	pd
U+4E60	习	14-4B79	sim
U+4E61	乡	14-4B7A	vvh
U+4E62	乢	3-2146	uu
U+4E63	乣	3-2145	viu
U+4E64	乤	14-4C2D	myn
U+4E65	乥	14-4C2E	hcn
U+4E66	书	14-4C2F	ids
U+4E67	乧	14-4C59	yjn
U+4E68	乨	3-2264	iru
U+4E69	乩	1-4726	yru
U+4E6A	乪	4-2228	nw
U+4E6B	乫	14-4D48	krn
U+4E6C	乬	14-4C5A	ssn
U+4E6D	乭	14-4D49	mrn
U+4E6E	乮	14-4D4A	hln
U+4E6F	乯	14-4D4B	hdn
U+4E70	买	14-4D4C	nyk
U+4E71	乱	3-2440	hru
U+4E72	乲	14-4E73	ion
U+4E73	乳	1-4B66	bdu
U+4E74	乴	4-2531	qln
