U+3400	㐀	6-222C	tm
U+3401	㐁	4-2224	mow
U+3402	㐂	14-4D40	jvjvv
U+3403	㐃	14-4B73	oml
U+3404	㐄	6-2130	ls
U+3405	㐅	6-2123	hi
U+3406	㐆	15-216C	hsms
U+3407	㐇	14-4B76	knn
U+3408	㐈	14-4B77	on
U+3409	㐉	14-4B78	mnn
U+340A	㐊	14-4C2B	gn
U+340B	㐋	14-4C2C	gn
U+340C	㐌	4-2157	opd
U+340D	㐍	14-4C56	bn
U+340E	㐎	14-4C57	ykn
U+340F	㐏	14-4C58	mmn
U+3410	㐐	14-4D42	ven
U+3411	㐑	14-4D43	heyn
U+3412	㐒	14-4D44	shrn
U+3413	㐓	14-4D45	mrn
U+3414	㐔	14-4D46	yrn
U+3415	㐕	14-4D47	lwn
U+3416	㐖	4-2336	gru
U+3417	㐗	14-4E71	jpn
U+3418	㐘	14-4E72	fdn
U+3419	㐙	14-5127	mrtn
U+341A	㐚	14-5128	mmrn
U+341B	㐛	14-5129	orn
U+341C	㐜	4-2835	iekn
U+341D	㐝	14-537C	qrn
U+341E	㐞	14-537D	tcn
U+341F	㐟	14-537E	lyn
U+3420	㐠	14-5421	bun
U+3421	㐡	3-343B	knmbk
U+3422	㐢	14-5B4E	edn
U+3423	㐣	14-5B4F	ijn
U+3424	㐤	3-396D	knjbc
U+3425	㐥	14-6876	csn
U+3426	㐦	14-6B3C	hqn
U+3427	㐧	14-4C30	idnh
U+3428	㐨	3-2741	nnnin
U+3429	㐩	3-286C	tttt
U+342A	㐪	14-4D4E	ku
U+342B	㐫	3-2323	yuk
U+342C	㐬	4-2337	yihlv
U+342D	㐭	4-2534	ywr
U+342E	㐮	3-4034	yctmv
U+342F	㐯	14-6A3C	yrra
U+3430	㐰	4-2159	or
U+3431	㐱	3-2175	ohhh
U+3432	㐲	3-216E	ok
U+3433	㐳	3-2171	omu
U+3434	㐴	3-2173	oni
U+3435	㐵	14-4C5B	omd
U+3436	㐶	15-2144	oru
U+3437	㐷	14-4C5C	onsm
U+3438	㐸	6-234E	ono
U+3439	㐹	3-2271	oon
U+343A	㐺	4-2231	ooo
U+343B	㐻	3-2269	oob
U+343C	㐼	3-226A	oht
U+343D	㐽	14-4D50	ohnk
U+343E	㐾	15-2172	ommu
U+343F	㐿	14-4D51	oq
U+3440	㑀	14-4D52	oki
U+3441	㑁	5-2334	ouu
U+3442	㑂	3-244A	omob
U+3443	㑃	3-2447	ovis
U+3444	㑄	3-244D	owyi
U+3445	㑅	6-2571	ooym
U+3446	㑆	14-4E76	orhu
U+3447	㑇	14-4E77	onsm
U+3448	㑈	14-4E78	okd
U+3449	㑉	3-2746	ohnn
U+344A	㑊	5-2525	oylc
U+344B	㑋	4-2539	otw
U+344C	㑌	4-253C	osmg
U+344D	㑍	3-2745	oqd
U+344E	㑎	5-252B	ovvu
U+344F	㑏	4-253B	ojdi
U+3450	㑐	4-2538	oymf
