U+20000	𠀀	5-2125	mls
U+20001	𠀁	10-2121	ks
U+20002	𠀂	15-2121	mn
U+20003	𠀃	6-212F	bm
U+20004	𠀄	6-212D	nlm
U+20005	𠀅	6-212E	mvks
U+20006	𠀆	10-2122	jj
U+20007	𠀇	6-2142	bmm
U+20008	𠀈	6-2143	hlnm
U+20009	𠀉	5-2133	hlmm
U+2000A	𠀊	10-2123	kni
U+2000B	𠀋	24-2123	hhpl
U+2000C	𠀌	10-2124	mmt
U+2000D	𠀍	10-2125	tg
U+2000E	𠀎	10-2126	tt
U+2000F	𠀏	15-213E	pum
U+20010	𠀐	15-213F	lm
U+20011	𠀑	10-2127	mbv
U+20012	𠀒	6-222B	mcmvs
U+20013	𠀓	10-2128	nlm
U+20014	𠀔	5-214D	mvho
U+20015	𠀕	10-2129	mvnm
U+20016	𠀖	10-212A	ti
U+20017	𠀗	10-212B	th
U+20018	𠀘	6-2340	mumu
U+20019	𠀙	6-233E	mmbb
U+2001A	𠀚	6-233F	mif
U+2001B	𠀛	10-212C	mkb
U+2001C	𠀜	10-212D	mtc
U+2001D	𠀝	10-212E	myym
U+2001E	𠀞	10-212F	mnmln
U+2001F	𠀟	10-2130	dbs
U+20020	𠀠	6-2467	tk
U+20021	𠀡	6-255F	mhgu
U+20022	𠀢	5-232F	mymp
U+20023	𠀣	15-2274	mlnm
U+20024	𠀤	10-2131	kkm
U+20025	𠀥	6-2567	mlam
U+20026	𠀦	10-2132	mill
U+20027	𠀧	10-2133	aummm
U+20028	𠀨	10-2134	mynhe
U+20029	𠀩	6-2563	msmn
U+2002A	𠀪	10-2135	tmmi
U+2002B	𠀫	10-2136	tmmh
U+2002C	𠀬	6-2937	mowo
U+2002D	𠀭	6-293A	hds
U+2002E	𠀮	6-2938	mcwk
U+2002F	𠀯	10-2137	mwe
U+20030	𠀰	10-2138	mffh
U+20031	𠀱	10-2139	mfck
U+20032	𠀲	10-213A	mnnin
U+20033	𠀳	10-213B	vomy
U+20034	𠀴	10-213C	uumy
U+20035	𠀵	15-2922	mnbmh
U+20036	𠀶	15-2923	mfhqo
U+20037	𠀷	10-213D	mrbt
U+20038	𠀸	10-213E	mbnn
U+20039	𠀹	10-213F	mcbr
U+2003A	𠀺	10-2140	mlhn
U+2003B	𠀻	6-2E66	mmuu
U+2003C	𠀼	10-2141	muk
U+2003D	𠀽	10-2142	jhike
U+2003E	𠀾	10-2143	mfomi
U+2003F	𠀿	10-2144	myrno
U+20040	𠁀	10-2145	ptoip
U+20041	𠁁	5-3072	rrlm
U+20042	𠁂	10-2146	jamn
U+20043	𠁃	5-3323	mfdl
U+20044	𠁄	10-2147	obmy
U+20045	𠁅	10-2148	mgpkk
U+20046	𠁆	15-3932	mfjbm
U+20047	𠁇	15-3933	mfjbm
U+20048	𠁈	6-472D	mnhjr
U+20049	𠁉	10-2149	mhng
U+2004A	𠁊	10-214A	jook
U+2004B	𠁋	15-3B73	mfdw
U+2004C	𠁌	15-4035	mfsjl
U+2004D	𠁍	15-4075	mftgk
U+2004E	𠁎	10-214B	yjmy
U+2004F	𠁏	10-214C	mrbm
U+20050	𠁐	10-214D	mrbm
U+20051	𠁑	10-214E	kbmy
U+20052	𠁒	15-4742	mfjbc
U+20053	𠁓	15-4D56	mfcro
U+20054	𠁔	10-214F	tclws
U+20055	𠁕	7-2121	jbmlm
U+20056	𠁖	15-5947	mmbbl
U+20057	𠁗	4-4F7C	qomaa
U+20058	𠁘	10-2150	mlhn
U+20059	𠁙	10-2151	mfyrs
U+2005A	𠁚	10-2152	myoma
U+2005B	𠁛	15-5A3F	mfytu
U+2005C	𠁜	10-2153	tcnbs
U+2005D	𠁝	10-2154	tcihr
U+2005E	𠁞	10-2155	mfoma
U+2005F	𠁟	10-2156	tctxc
U+20060	𠁠	10-2157	bmbmm
U+20061	𠁡	6-212C	ln
U+20062	𠁢	6-2122	ln
U+20063	𠁣	10-2158	al
U+20064	𠁤	6-225F	cw
U+20065	𠁥	4-2156	tl
U+20066	𠁦	6-2341	ls
U+20067	𠁧	6-2560	lsl
U+20068	𠁨	10-2159	sml
U+20069	𠁩	6-293B	lmls
U+2006A	𠁪	10-215A	hgl
U+2006B	𠁫	5-2521	vlod
U+2006C	𠁬	10-215B	tlnl
U+2006D	𠁭	5-277A	ololl
U+2006E	𠁮	6-2E4A	oolx
U+2006F	𠁯	15-2950	lir
U+20070	𠁰	6-3525	qsms
U+20071	𠁱	6-3526	jljm
U+20072	𠁲	6-457D	rrtt
U+20073	𠁳	10-215C	uqjj
U+20074	𠁴	6-463F	lwkk
U+20075	𠁵	10-215D	lllc
U+20076	𠁶	15-4640	lpbe
U+20077	𠁷	5-447E	llll
U+20078	𠁸	10-215E	llyoj
U+20079	𠁹	10-215F	lhxc
U+2007A	𠁺	10-2160	llygj
U+2007B	𠁻	10-2161	llmrr
U+2007C	𠁼	10-2162	iii
U+2007D	𠁽	6-2132	nhi
U+2007E	𠁾	5-212D	vni
U+2007F	𠁿	6-222D	umi
U+20080	𠂀	10-2163	tij
U+20081	𠂁	10-2164	ymyl
U+20082	𠂂	6-2342	isst
U+20083	𠂃	15-2D61	iekni
U+20084	𠂄	6-5050	byapv
U+20085	𠂅	15-5344	yvgi
U+20086	𠂆	4-2121	hh
U+20087	𠂇	5-2126	jh
U+20088	𠂈	6-2124	vl
U+20089	𠂉	10-2165	hm
U+2008A	𠂊	10-2166	hn
U+2008B	𠂋	10-2167	hm
U+2008C	𠂌	15-2122	hd
U+2008D	𠂍	6-2133	hkns
U+2008E	𠂎	10-2168	hvh
U+2008F	𠂏	6-2144	nhms
U+20090	𠂐	10-2169	nqs
U+20091	𠂑	10-216A	hvih
U+20092	𠂒	15-2125	hg
U+20093	𠂓	15-2126	hhi
U+20094	𠂔	5-214E	lxh
U+20095	𠂕	6-2230	hqo
U+20096	𠂖	10-216B	qq
U+20097	𠂗	15-2145	hniu
U+20098	𠂘	6-224E	hsui
U+20099	𠂙	6-222F	qjh
U+2009A	𠂚	15-2140	hkh
U+2009B	𠂛	15-2141	hylm
U+2009C	𠂜	6-2145	omlm
U+2009D	𠂝	10-216C	hl
U+2009E	𠂞	6-2231	hcmvs
U+2009F	𠂟	10-216D	hfk
U+200A0	𠂠	6-222E	hfms
U+200A1	𠂡	10-216E	hnq
U+200A2	𠂢	4-2226	hhv
U+200A3	𠂣	4-2225	havs
U+200A4	𠂤	5-2224	hrlr
U+200A5	𠂥	5-2225	hbt
U+200A6	𠂦	10-216F	lyml
U+200A7	𠂧	10-2170	humi
U+200A8	𠂨	6-2343	hbt
U+200A9	𠂩	6-293E	hmhvm
U+200AA	𠂪	10-2171	nsyy
U+200AB	𠂫	10-2172	yynhs
U+200AC	𠂬	6-245D	hau
U+200AD	𠂭	10-2173	ikii
U+200AE	𠂮	6-2556	hmln
U+200AF	𠂯	6-2561	htq
U+200B0	𠂰	6-2562	hjsb
U+200B1	𠂱	6-2C43	ypnhs
U+200B2	𠂲	6-293C	hdt
U+200B3	𠂳	6-3A65	ukvil
U+200B4	𠂴	15-2925	qjbt
U+200B5	𠂵	6-2D2D	llgq
U+200B6	𠂶	6-293D	hryh
U+200B7	𠂷	6-2E4B	hktj
U+200B8	𠂸	10-2174	hngt
U+200B9	𠂹	5-2B67	oooo
U+200BA	𠂺	6-352A	hwt
U+200BB	𠂻	10-2175	hjlv
U+200BC	𠂼	6-3527	lslss
U+200BD	𠂽	6-3964	hwmv
U+200BE	𠂾	6-3529	hrmf
U+200BF	𠂿	6-3C7B	hood
U+200C0	𠃀	10-2176	ooos
U+200C1	𠃁	10-2177	hwhv
U+200C2	𠃂	6-457E	hrmfm
U+200C3	𠃃	6-4640	huijb
U+200C4	𠃄	6-4641	hvhhv
U+200C5	𠃅	10-2178	hwlc
U+200C6	𠃆	5-3D56	hrhfd
U+200C7	𠃇	10-2179	hjma
U+200C8	𠃈	10-217A	hjuuu
U+200C9	𠃉	5-2123	vn
U+200CA	𠃊	10-217B	v
U+200CB	𠃋	5-2122	vm
U+200CC	𠃌	10-217C	nn
U+200CD	𠃍	10-217D	n
U+200CE	𠃎	10-217E	lm
U+200CF	𠃏	6-2126	vu
U+200D0	𠃐	6-2125	nn
U+200D1	𠃑	5-2121	vn
U+200D2	𠃒	5-212B	pj
U+200D3	𠃓	10-2221	nshh
