U+2A700	𪜀	11-4842	tn
U+2A701	𪜁	11-4843	msl
U+2A702	𪜂	12-2150	mkni
U+2A703	𪜃	11-7347	jllu
U+2A704	𪜄	12-364E	mfmnr
U+2A705	𪜅	11-7757	ditt
U+2A706	𪜆	11-7939	minq
U+2A707	𪜇	13-6735	msomo
U+2A708	𪜈	11-4845	lmp
U+2A709	𪜉	11-7635	lmfj
U+2A70A	𪜊	11-4841	in
U+2A70B	𪜋	12-305E	ygjp
U+2A70C	𪜌	11-4859	nsa
U+2A70D	𪜍	12-365D	hjlmo
U+2A70E	𪜎	11-7758	hlyhn
U+2A70F	𪜏	11-7759	hktu
U+2A710	𪜐	11-484B	nop
U+2A711	𪜑	11-485A	djn
U+2A712	𪜒	11-4874	ngr
U+2A713	𪜓	11-4875	oqn
U+2A714	𪜔	11-7348	kntw
U+2A715	𪜕	11-7636	jau
U+2A716	𪜖	11-775A	njwyl
U+2A717	𪜗	11-775B	knirm
U+2A718	𪜘	11-793A	mrnde
U+2A719	𪜙	13-2131	knmat
U+2A71A	𪜚	12-753F	endk
U+2A71B	𪜛	15-6E7D	bdukb
U+2A71C	𪜜	11-4876	lmpn
U+2A71D	𪜝	12-7541	nntmc
U+2A71E	𪜞	13-4826	miqkd
U+2A71F	𪜟	13-5946	yimmi
U+2A720	𪜠	12-225E	yhni
U+2A721	𪜡	11-484C	vhyv
U+2A722	𪜢	11-4877	yla
U+2A723	𪜣	12-515A	ycip
U+2A724	𪜤	13-213D	yoog
U+2A725	𪜥	15-7369	ywrs
U+2A726	𪜦	14-3350	ynhhw
U+2A727	𪜧	11-4846	ok
U+2A728	𪜨	12-2465	omv
U+2A729	𪜩	11-485B	opi
U+2A72A	𪜪	11-485C	opp
U+2A72B	𪜫	12-2454	ong
U+2A72C	𪜬	12-283A	ojd
U+2A72D	𪜭	12-277D	ows
U+2A72E	𪜮	12-2826	obu
U+2A72F	𪜯	11-4878	orks
U+2A730	𪜰	11-4879	ohd
U+2A731	𪜱	11-487A	ohd
U+2A732	𪜲	11-487B	ohmy
U+2A733	𪜳	12-2777	orvp
U+2A734	𪜴	11-487C	oni
U+2A735	𪜵	12-2E3F	opa
U+2A736	𪜶	12-2E40	owk
U+2A737	𪜷	12-2E47	onsd
U+2A738	𪜸	12-2E43	ojnd
U+2A739	𪜹	12-2E39	oshh
U+2A73A	𪜺	11-7349	ovmi
U+2A73B	𪜻	12-3747	oglc
U+2A73C	𪜼	12-4357	oqhq
U+2A73D	𪜽	11-7637	owg
U+2A73E	𪜾	11-7638	obms
U+2A73F	𪜿	11-7639	oav
U+2A740	𪝀	12-372D	onbg
U+2A741	𪝁	11-763A	osrp
U+2A742	𪝂	12-3725	oyam
U+2A743	𪝃	12-4362	odei
U+2A744	𪝄	12-4375	okcs
U+2A745	𪝅	11-775C	odok
U+2A746	𪝆	12-4360	otys
U+2A747	𪝇	12-4372	oluk
U+2A748	𪝈	12-434F	obbe
U+2A749	𪝉	12-437A	ookd
U+2A74A	𪝊	12-4356	oihm
U+2A74B	𪝋	12-516A	odbu
U+2A74C	𪝌	12-522B	otw
U+2A74D	𪝍	12-522F	ojrb
U+2A74E	𪝎	11-793B	odoi
U+2A74F	𪝏	11-793C	omvr
U+2A750	𪝐	11-793D	omad
U+2A751	𪝑	12-5168	oabt
U+2A752	𪝒	12-5169	ohje
U+2A753	𪝓	12-516E	oomb
U+2A754	𪝔	13-2149	onup
U+2A755	𪝕	
U+2A756	𪝖	13-215C	ombc
U+2A757	𪝗	13-2228	doihu
U+2A758	𪝘	12-7557	oykb
U+2A759	𪝙	12-755A	ogit
U+2A75A	𪝚	12-755F	oafu
U+2A75B	𪝛	13-2167	ohse
U+2A75C	𪝜	14-7E40	ohrb
U+2A75D	𪝝	14-7E41	obtk
U+2A75E	𪝞	13-215F	otct
U+2A75F	𪝟	14-7E42	onhh
U+2A760	𪝠	13-354A	ojji
U+2A761	𪝡	13-3553	otak
U+2A762	𪝢	13-3545	owlv
U+2A763	𪝣	13-353A	ojkr
